datetime,TX p0 pps,TX p0 kB/s,TX p1 pps,TX p0 kB/s,RX p0 pps,RX p0 kB/s,RX p1 pps,RX p1 kB/s,CPU user percent,CPU system percent,CPU idle percent,TCP sockets,TCP Established
Mon Feb 20 02:15:07 UTC 2023,0,0,0,0,0,0,0,0,2,2,95,1,
Mon Feb 20 02:15:08 UTC 2023,195174,193720,309941,417941,0,0,3,0,2,2,95,7228,
Mon Feb 20 02:15:09 UTC 2023,129829,71185,239163,325644,0,0,0,0,2,2,95,11747,
Mon Feb 20 02:15:10 UTC 2023,134474,81003,201345,275504,0,0,2,0,2,2,95,12841,
Mon Feb 20 02:15:11 UTC 2023,152540,113084,189892,248810,0,0,0,0,2,2,95,14592,
Mon Feb 20 02:15:13 UTC 2023,157283,127755,159148,198744,1,0,2,0,2,2,95,16176,
Mon Feb 20 02:15:14 UTC 2023,144771,115191,135581,166482,0,0,0,0,2,2,95,16802,
Mon Feb 20 02:15:15 UTC 2023,131335,85050,152314,197173,0,0,0,0,2,2,95,17409,
Mon Feb 20 02:15:16 UTC 2023,136957,95082,167072,213204,0,0,2,0,2,2,95,17945,
Mon Feb 20 02:15:17 UTC 2023,195272,179429,189953,214888,0,0,0,0,2,2,95,18016,
Mon Feb 20 02:15:18 UTC 2023,205735,206692,178854,198284,0,0,2,0,2,2,95,18043,
Mon Feb 20 02:15:19 UTC 2023,188796,179250,177120,203349,0,0,0,0,2,2,95,18062,
Mon Feb 20 02:15:21 UTC 2023,186532,176384,171158,195475,0,0,2,0,2,2,95,18068,
Mon Feb 20 02:15:22 UTC 2023,189130,191717,158020,169573,0,0,0,0,2,2,95,18067,
Mon Feb 20 02:15:23 UTC 2023,197194,199195,164224,177302,0,0,2,0,2,2,95,18204,
Mon Feb 20 02:15:24 UTC 2023,198125,207531,156202,162266,0,0,2,0,2,2,95,18783,
Mon Feb 20 02:15:25 UTC 2023,191552,185981,171727,192793,0,0,0,0,2,2,95,18856,
Mon Feb 20 02:15:26 UTC 2023,221993,277171,121247,89993,0,0,2,0,2,2,95,18872,
Mon Feb 20 02:15:27 UTC 2023,211184,242112,148201,138300,0,0,0,0,2,2,95,18889,
Mon Feb 20 02:15:29 UTC 2023,185122,174975,169797,184862,0,0,2,0,2,2,95,18879,
Mon Feb 20 02:15:30 UTC 2023,166299,149304,162796,183357,0,0,0,0,2,2,95,18740,
Mon Feb 20 02:15:31 UTC 2023,169880,156949,165224,182421,0,0,2,0,2,2,95,18605,
Mon Feb 20 02:15:32 UTC 2023,176890,172094,162802,174334,0,0,0,0,2,2,95,18456,
Mon Feb 20 02:15:33 UTC 2023,172788,166454,164153,176616,0,0,0,0,2,2,95,17998,
Mon Feb 20 02:15:34 UTC 2023,158127,145677,162297,174947,0,0,2,0,2,2,95,17040,
Mon Feb 20 02:15:35 UTC 2023,93871,81738,103383,117227,0,0,0,0,2,2,95,16944,
Mon Feb 20 02:15:36 UTC 2023,192338,243562,101871,73813,0,0,2,0,2,2,95,16838,
Mon Feb 20 02:15:38 UTC 2023,157856,183068,112194,99450,0,0,0,0,2,2,95,16459,
Mon Feb 20 02:15:39 UTC 2023,232830,231051,239300,262588,0,0,3,0,2,2,95,15372,
Mon Feb 20 02:15:40 UTC 2023,241819,236134,263258,301631,0,0,0,0,2,2,95,14645,
Mon Feb 20 02:15:41 UTC 2023,228888,240844,214966,226535,0,0,2,0,2,2,95,14008,
Mon Feb 20 02:15:42 UTC 2023,265606,255325,273171,294399,0,0,2,0,2,2,95,12916,
Mon Feb 20 02:15:43 UTC 2023,235152,222113,246313,268915,0,0,0,0,2,2,95,11953,
Mon Feb 20 02:15:45 UTC 2023,253869,305287,150790,110312,0,0,2,0,2,2,95,11743,
Mon Feb 20 02:15:46 UTC 2023,266191,330738,140859,96497,0,0,0,0,2,2,95,11621,
Mon Feb 20 02:15:47 UTC 2023,255419,254008,211950,210312,0,0,2,0,2,2,95,11351,
Mon Feb 20 02:15:48 UTC 2023,251501,237488,223700,236310,0,0,2,0,2,2,95,10782,
Mon Feb 20 02:15:50 UTC 2023,250284,230799,232792,231781,0,0,0,0,2,2,95,9745,
Mon Feb 20 02:15:51 UTC 2023,244970,231932,230347,236060,0,0,2,0,2,2,95,7977,
Mon Feb 20 02:15:52 UTC 2023,239895,237364,221697,231093,0,0,0,0,2,2,95,5945,
Mon Feb 20 02:15:53 UTC 2023,228596,231898,220886,231299,0,0,0,0,2,2,95,3950,
Mon Feb 20 02:15:54 UTC 2023,255669,288154,248424,284078,0,0,2,0,2,2,95,3266,
Mon Feb 20 02:15:56 UTC 2023,320446,383003,301234,367547,0,0,0,0,2,2,95,3012,
Mon Feb 20 02:15:57 UTC 2023,319038,381442,305879,376322,0,0,2,0,2,2,95,2849,
Mon Feb 20 02:15:58 UTC 2023,327346,390898,307957,374208,0,0,0,0,2,2,95,2671,
Mon Feb 20 02:15:59 UTC 2023,370555,453256,356728,447843,0,0,2,0,2,2,95,2427,
Mon Feb 20 02:16:00 UTC 2023,37549,44892,31244,34701,0,0,2,0,2,2,95,2236,
Mon Feb 20 02:16:01 UTC 2023,13370,16317,11334,13182,0,0,0,0,2,2,95,2166,
Mon Feb 20 02:16:02 UTC 2023,13062,16811,7144,7072,0,0,2,0,2,2,95,2112,
Mon Feb 20 02:16:03 UTC 2023,9770,15817,5761,7576,0,0,0,0,2,2,95,2051,
Mon Feb 20 02:16:05 UTC 2023,4717,5583,4446,5277,0,0,2,0,2,2,95,2021,
Mon Feb 20 02:16:06 UTC 2023,18596,24294,10000,10284,0,0,0,0,2,2,95,1953,
Mon Feb 20 02:16:07 UTC 2023,2843,3442,2515,3016,0,0,2,0,2,2,95,1937,
Mon Feb 20 02:16:08 UTC 2023,96408,104356,83834,97617,0,0,0,0,2,2,95,1557,
Mon Feb 20 02:16:09 UTC 2023,645,721,660,797,0,0,3,0,2,2,95,1553,
Mon Feb 20 02:16:10 UTC 2023,50692,58090,40470,48511,0,0,0,0,2,2,95,1352,
Mon Feb 20 02:16:11 UTC 2023,7,0,8,0,0,0,2,0,2,2,95,1352,
Mon Feb 20 02:16:12 UTC 2023,68605,78349,57199,66556,0,0,0,0,2,2,95,1075,
Mon Feb 20 02:16:13 UTC 2023,4,0,3,0,1,0,0,0,2,2,95,1042,
Mon Feb 20 02:16:14 UTC 2023,113812,128477,95340,107115,0,0,2,0,2,2,95,527,
Mon Feb 20 02:16:15 UTC 2023,36455,41976,35309,44109,0,0,0,0,2,2,95,334,
Mon Feb 20 02:16:16 UTC 2023,10526,13628,4852,4804,0,0,2,0,2,2,95,299,
Mon Feb 20 02:16:18 UTC 2023,19921,23270,18642,23026,0,0,0,0,2,2,95,205,
Mon Feb 20 02:16:19 UTC 2023,3049,4202,1018,732,0,0,2,0,2,2,95,194,
